0 34 1828 28 6735
1 2 80 2 80
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 8 941 6 687
17 7 1245 7 4263
18 10 1808 11 6334
19 3 657 2 84
20 9 1566 10 4809
21 54 5684 78 71972
22 18 2829 18 6034
23 19 4308 21 9347
24 129 15974 231 206364
25 83 37644 199 216914
26 9 717 12 3811
27 13 2025 13 4952
28 2 80 2 80
29 98 5418 315 421856
30 2 216 2 80
31 23 959 111 159590
32 34 10195 60 53568
33 129 9497 484 690421
34 30 3788 85 108307
35 77 4716 592 857967
36 50 4615 249 332872
37 0 0 0 0
38 1 40 1 40
39 1 40 1 40
40 1 40 1 40
41 0 0 0 0
42 1 40 1 40
43 1 40 1 40
44 74 13412 238 299256
45 36 31057 110 125944
46 55 8888 273 355499
47 46 7655 108 108035
48 107 41339 217 250317
49 82 11283 159 195330
50 69 6276 186 225836
51 36 6555 128 172178
52 39 4355 114 156937
53 32 3929 146 207979
54 44 5107 117 157610
55 4 160 4 160
56 1 40 1 40
57 1 40 1 40
58 4 160 4 160
59 1 40 1 40
60 0 0 0 0
61 46 7240 102 127071
62 16 15274 17 3090
63 2 1374 3 2201
64 21 9532 24 14199
65 33 5390 92 121220
66 31 7425 113 150649
67 31 3818 132 184819
68 15 3063 22 6493
69 27 1080 85 120389
70 133 11905 882 1262664
71 267 11973 1484 2146462
72 0 0 0 0
73 2 723 3 257
74 4 160 4 160
75 5 200 5 200
76 2 80 2 80
77 1 40 1 40
78 1 40 1 40
79 3 120 3 120
80 4 238 4 238
81 5 239 5 239
82 2 119 2 119
83 4 238 4 238
84 3 120 3 120
85 6 240 6 240
86 100 5294 434 623549
87 2 119 2 119
88 1 40 1 40
89 6 1536 7 480
90 1 40 1 40
91 2 80 2 80
92 0 0 0 0
93 0 0 0 0
94 1 40 1 40
95 4 160 4 160
96 6 240 6 240
97 1 40 1 40
98 1 40 1 40
99 3 120 3 120
100 1 40 1 40
101 0 0 0 0
102 2 80 2 80
103 0 0 0 0
104 0 0 0 0
105 7 319 7 319
106 164 9761 1101 1583708
107 66 2640 388 560465
108 3 159 3 159
109 7 358 7 358
110 1 40 1 40
111 2 687 3 257
112 1 40 1 40
113 0 0 0 0
114 0 0 0 0
115 4 160 4 160
116 10 2220 11 640
117 3 120 3 120
118 1 40 1 40
119 1 40 1 40
120 3 120 3 120
121 0 0 0 0
122 1 40 1 40
123 0 0 0 0
124 0 0 0 0
125 4 160 4 160
126 166 9321 1420 2081406
127 2 80 2 80
128 0 0 0 0
129 1 40 1 40
130 3 120 3 120
131 1 40 1 40
132 1 40 1 40
133 3 144 3 120
134 3 144 3 120
135 3 120 3 120
136 13 1041 14 699
137 1 40 1 40
138 1 40 1 40
139 5 278 5 278
140 93 5148 1065 1568467
141 7 319 26 34971
142 4 238 4 238
143 0 0 0 0
144 0 0 0 0
145 39 3934 169 231755
146 26 1040 220 311315
147 2 80 2 80
148 1 40 1 40
149 5 200 5 200
150 2 80 2 80
151 3 730 4 297
152 0 0 0 0
153 0 0 0 0
154 0 0 0 0
155 0 0 0 0
156 4 160 4 160
157 1 40 1 40
158 2 80 2 80
