0 36 1940 30 6661
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0 0
17 0 0 0 0
18 0 0 0 0
19 0 0 0 0
20 0 0 0 0
21 0 0 0 0
22 0 0 0 0
23 0 0 0 0
24 0 0 0 0
25 5 737 5 3381
26 123 21181 130 75399
27 63 4382 99 120886
28 10 4456 15 13280
29 81 28725 84 29073
30 88 15575 115 78373
31 69 14516 79 41227
32 32 20351 38 22398
33 0 0 0 0
34 12 1974 22 23676
35 16 10693 17 1025
36 0 0 0 0
37 11 1642 11 5710
38 3 594 3 425
39 14 2736 15 4116
40 85 9447 116 92716
41 8 921 8 5690
42 5 614 6 668
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 1 40 2 104
47 2 80 2 80
48 0 0 0 0
49 0 0 0 0
50 13 1572 16 6267
51 0 0 0 0
52 0 0 0 0
53 0 0 0 0
54 0 0 0 0
55 0 0 0 0
56 13 1512 13 9642
57 90 4733 167 220093
58 72 9273 103 73482
59 66 3208 173 236276
60 36 6046 37 12172
61 17 1596 21 1522
62 15 1914 14 906
63 1 40 1 76
64 137 13083 258 271844
65 194 19373 588 747787
66 75 6804 192 230291
67 81 8027 189 209809
68 67 8123 144 140990
69 120 11208 559 749074
70 45 5711 163 197931
71 63 8739 143 137605
72 76 6819 255 302838
73 31 2175 137 179222
74 50 3955 221 282980
75 13 758 13 3181
76 9 484 9 1662
77 33 6885 37 11912
78 20 1942 30 24114
79 21 3040 21 6687
80 5 319 5 1567
81 7 562 10 7214
82 8 2469 8 1748
83 12 1184 24 25192
84 21 5790 22 4779
85 95 18133 133 86961
86 35 3308 110 134658
87 35 11067 50 39916
88 10 1048 12 4704
89 8 655 10 6743
90 7 400 7 1648
91 6 364 6 2879
92 37 6404 36 10274
93 179 17877 712 956187
94 101 8048 303 369457
95 15 6012 19 10978
96 15 811 66 84405
97 5 287 6 393
98 63 80754 64 8430
99 34 3617 54 44633
100 3 554 3 296
101 46 48008 85 68279
102 3 120 3 472
103 3 120 3 120
104 12 11619 12 628
105 23 1096 65 81174
106 29 1933 88 115966
107 28 11644 61 63164
108 0 0 0 0
109 12 808 15 2900
110 8 1976 8 1844
111 8 1734 8 1031
112 9 986 8 825
113 0 0 0 0
114 15 1425 25 27434
115 6 400 6 675
116 6 467 6 2984
117 5 313 5 1492
118 4 269 4 1437
119 9 505 10 2715
120 6 465 6 2780
121 11 551 11 1894
122 6 347 7 1679
123 5 311 5 1732
124 5 311 5 1496
125 9 610 10 3004
126 4 270 4 1490
127 10 547 12 2840
128 6 349 7 2943
129 14 784 16 2136
130 4 273 4 1413
131 4 272 4 1418
132 12 704 12 3143
133 4 270 4 1485
134 9 587 9 2939
